departure, arrival, transfers, first_mile_mode, first_mile_duration, last_mile_mode, last_mile_duration
2025-09-29 06:50, 2025-09-29 07:26, 0, taxi, 36, walk, 00
2025-09-29 06:55, 2025-09-29 07:31, 0, taxi, 36, walk, 00
2025-09-29 07:00, 2025-09-29 07:36, 0, taxi, 36, walk, 00
2025-09-29 07:05, 2025-09-29 07:41, 0, taxi, 36, walk, 00
2025-09-29 07:09, 2025-09-29 07:57, 1, walk, 03, taxi, 12
2025-09-29 07:09, 2025-09-29 08:03, 1, walk, 03, walk, 06
2025-09-29 07:10, 2025-09-29 07:46, 0, taxi, 36, walk, 00
2025-09-29 07:13, 2025-09-29 08:03, 1, taxi, 32, walk, 06
2025-09-29 07:13, 2025-09-29 08:06, 1, taxi, 32, walk, 08
2025-09-29 07:15, 2025-09-29 07:51, 0, taxi, 36, walk, 00
2025-09-29 07:16, 2025-09-29 08:03, 1, taxi, 32, walk, 06
2025-09-29 07:20, 2025-09-29 07:56, 0, taxi, 36, walk, 00
2025-09-29 07:25, 2025-09-29 08:01, 0, taxi, 36, walk, 00
2025-09-29 07:30, 2025-09-29 08:06, 0, taxi, 36, walk, 00
2025-09-29 07:33, 2025-09-29 08:28, 1, taxi, 35, walk, 14
2025-09-29 07:35, 2025-09-29 08:11, 0, taxi, 36, walk, 00
2025-09-29 07:40, 2025-09-29 08:16, 0, taxi, 36, walk, 00
2025-09-29 07:45, 2025-09-29 08:21, 0, taxi, 36, walk, 00
2025-09-29 07:50, 2025-09-29 08:26, 0, taxi, 36, walk, 00
2025-09-29 07:55, 2025-09-29 08:31, 0, taxi, 36, walk, 00
2025-09-29 08:13, 2025-09-29 09:03, 1, taxi, 32, walk, 06
2025-09-29 08:13, 2025-09-29 09:06, 1, taxi, 32, walk, 08
2025-09-29 08:16, 2025-09-29 09:03, 1, taxi, 32, walk, 06
2025-09-29 08:39, 2025-09-29 09:28, 1, taxi, 35, walk, 08
