departure, arrival, transfers, first_mile_mode, first_mile_duration, last_mile_mode, last_mile_duration
2025-09-22 01:59, 2025-09-22 02:58, 0, taxi, 16, walk, 05
2025-09-22 19:54, 2025-09-22 21:01, 0, taxi, 21, walk, 05
